movie_id,title,tags
19995,Avatar,"action adventur fantasi sciencefict 22nd century, parapleg marin dispatch moon pandora uniqu mission, becom torn follow order protect alien civilization. cultureclash futur spacewar spacecoloni societi spacetravel futurist romanc space alien tribe alienplanet cgi marin soldier battl loveaffair antiwar powerrel mindandsoul 3d samworthington zoesaldana sigourneyweav jame cameron"
285,Pirates of the Caribbean: At World's End,"adventur fantasi action captain barbossa, long believ dead, come back life head edg earth turner elizabeth swann. noth quit seems. ocean drugabus exoticisland eastindiatradingcompani loveofone'slif traitor shipwreck strongwoman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting johnnydepp orlandobloom keiraknightley gore verbinski"
206647,Spectre,"action adventur crime cryptic messag bond’ past send trail uncov sinist organization. battl polit forc keep secret servic alive, bond peel back layer deceit reveal terribl truth behind spectre. spi basedonnovel secretag sequel mi6 britishsecretservic unitedkingdom danielcraig christophwaltz léaseydoux sam mend"
49026,The Dark Knight Rises,"action crime drama thriller follow death district attorney harvey dent, batman assum respons dent' crime protect late attorney' reput subsequ hunt gotham citi polic department. eight year later, batman encount mysteri selina kyle villain bane, new terrorist leader overwhelm gotham' finest. dark knight resurfac protect citi brand enemy. dccomic crimefight terrorist secretident burglar hostagedrama timebomb gothamc vigilant cover-up superhero villai tragichero terror destruct catwoman catburglar imax flood criminalunderworld batman christianbal michaelcain garyoldman christoph nolan"
49529,John Carter,"action adventur sciencefict john carter war-weary, former militari captain who' inexplic transport mysteri exot planet barsoom (mars) reluctantli becom embroil epic conflict. world brink collapse, carter rediscov human realiz surviv barsoom peopl rest hands. basedonnovel mar medallion spacetravel princess alien steampunk martian escap edgarriceburrough alienrac superhumanstrength marscivil swordandplanet 19thcenturi 3d taylorkitsch lynncollin samanthamorton andrew stanton"
559,Spider-Man 3,"fantasi action adventur seemingli invinc spider-man goe all-new crop villain – includ shape-shift sandman. spider-man’ superpow alter alien organism, alter ego, peter parker, deal nemesi eddi brock also get caught love triangle. dualident amnesia sandstorm loveofone'slif forgiv spider wretch deathofafriend egomania sand narcism hostil marvelcom sequel superhero reveng tobeymaguir kirstendunst jamesfranco sam raimi"
38757,Tangled,"anim famili kingdom' wanted-and charming-bandit flynn rider hide mysteri tower, he' taken hostag rapunzel, beauti feisti tower-bound teen 70 feet magical, golden hair. flynn' curiou captor, who' look ticket tower lock away years, strike deal handsom thief unlik duo set action-pack escapade, complet super-cop horse, over-protect chameleon gruff gang pub thugs. hostag magic hors fairytal music princess anim tower blondewoman selfish healingpow basedonfairytal duringcreditssting healinggift animalsidekick zacharylevi mandymoor donnamurphi byron howard"
99861,Avengers: Age of Ultron,"action adventur sciencefict toni stark tri jumpstart dormant peacekeep program, thing go awri earth’ mightiest hero put ultim test fate planet hang balance. villain ultron emerges, aveng stop enact terribl plans, soon uneasi allianc unexpect action pave way epic uniqu global adventure. marvelcom sequel superhero basedoncomicbook vision superheroteam duringcreditssting marvelcinematicunivers 3d robertdowneyjr. chrishemsworth markruffalo joss whedon"
767,Harry Potter and the Half-Blood Prince,"adventur fantasi famili harri begin sixth year hogwarts, discov old book mark 'properti half-blood prince', begin learn lord voldemort' dark past. witch magic broom schoolofwitchcraft wizardri apparit teenagecrush werewolf danielradcliff rupertgrint emmawatson david yate"
209112,Batman v Superman: Dawn of Justice,"action adventur fantasi fear action god-lik super hero left unchecked, gotham city’ formidable, forc vigilant take metropolis’ revered, modern-day savior, world wrestl sort hero realli needs. batman superman war one another, new threat quickli arises, put mankind greater danger it’ ever known before. dccomic vigilant superhero basedoncomicbook reveng superpow clarkkent brucewayn dcextendedunivers benaffleck henrycavil galgadot zack snyder"
1452,Superman Returns,"adventur fantasi action sciencefict superman return discov 5-year absenc allow lex luthor walk free, closest felt abandon move on. luthor plot ultim reveng could see million kill chang face planet forever, well rid man steel. savingtheworld dccomic invulner sequel superhero basedoncomicbook kryptonit superpow superhumanstrength lexluthor brandonrouth kevinspacey katebosworth bryan singer"
10764,Quantum of Solace,"adventur action thriller crime quantum solac continu adventur jame bond casino royale. betray vesper, woman loved, 007 fight urg make latest mission personal. pursu determin uncov truth, bond interrog mr. white, reveal organ blackmail vesper far complex danger anyon imagined. kill undercov secretag britishsecretservic danielcraig olgakurylenko mathieuamalr marc forster"
58,Pirates of the Caribbean: Dead Man's Chest,"adventur fantasi action captain jack sparrow work way blood debt ghostli davey jones, also attempt avoid etern damnation. witch fortunetel bondag exoticisland monster captain cardgam eastindiatradingcompani compass ship daughter pirat swashbuckl aftercreditssting johnnydepp orlandobloom keiraknightley gore verbinski"
